,date_gmt,Max,Min,AVG,1992,1998,2000,2016,2017,2018,2019,2020,2021,2022,2023,2024,floodLevel,alarmLevel
90,08-30,10.56,0.0,8.79,8.8,6.36,10.12,6.71,8.34,9.87,6.68,5.71,4.68,7.35,5.89,6.47,12,10.5
91,08-31,10.58,0.0,8.82,8.87,6.34,10.2,6.66,8.35,9.9,6.72,5.8,4.77,7.33,5.93,6.62,12,10.5
92,09-01,10.61,0.0,8.84,8.95,6.32,10.32,6.64,8.35,9.92,7.0,5.79,4.84,7.32,6.06,0.0,12,10.5
93,09-02,10.63,0.0,8.86,9.01,6.32,10.37,6.62,8.35,9.95,7.53,5.56,4.79,7.36,6.28,6.84,12,10.5
94,09-03,10.62,0.0,8.87,9.01,6.34,10.44,6.59,8.35,9.94,7.79,5.4,4.78,7.36,6.57,6.94,12,10.5
95,09-04,10.6,0.0,8.89,8.98,6.39,10.53,6.53,8.36,9.93,7.92,5.17,4.76,7.32,6.65,7.05,12,10.5
96,09-05,10.64,0.0,8.92,8.93,6.42,10.64,6.47,8.38,9.9,8.19,5.04,4.83,7.3,6.51,7.05,12,10.5
97,09-06,10.7,0.0,8.96,8.88,6.43,10.7,6.45,8.39,9.9,8.5,4.9,4.92,7.35,6.37,7.13,12,10.5
98,09-07,10.76,0.0,9.0,8.82,6.44,10.76,6.47,8.41,9.88,8.8,4.73,5.0,7.39,6.33,7.22,12,10.5
99,09-08,10.82,0.0,9.03,8.64,6.47,10.82,6.64,8.43,9.85,9.05,4.56,5.06,7.45,6.44,7.25,12,10.5
100,09-09,10.86,0.0,9.07,8.5,6.51,10.86,6.83,8.44,9.83,9.23,4.47,5.13,7.6,6.55,7.25,12,10.5
101,09-10,10.88,0.0,9.1,8.4,6.56,10.88,6.92,8.43,9.79,9.38,4.37,5.3,7.66,6.56,0.0,12,10.5
102,09-11,10.94,0.0,9.13,8.33,6.64,10.94,6.85,8.4,9.79,9.43,4.28,5.43,7.64,6.58,0.0,12,10.5
103,09-12,11.04,0.0,9.16,8.31,6.82,11.04,6.79,8.38,9.78,9.45,4.17,5.56,7.57,6.61,0.0,12,10.5
104,09-13,11.06,0.0,9.19,8.33,7.12,11.06,6.89,8.37,9.79,9.47,4.12,5.75,7.61,6.69,0.0,12,10.5
105,09-14,11.1,0.0,9.21,8.42,7.34,11.1,7.14,8.36,9.78,9.49,4.06,6.07,7.62,6.72,0.0,12,10.5
106,09-15,11.12,0.0,9.23,8.47,7.39,11.12,7.49,8.32,9.81,9.49,4.08,6.58,7.6,6.88,0.0,12,10.5
